"id","activity_date","total_steps","total_active_minutes","total_minutes_asleep","sleep_efficiency"
"1503960366","2016-04-12",13162,366,327,"0.94509"
"1503960366","2016-04-13",10735,257,384,"0.94349"
"1503960366","2016-04-15",9762,272,412,"0.93213"
"1503960366","2016-04-16",12669,267,340,"0.92643"
"1503960366","2016-04-17",9705,222,700,"0.98315"
"1503960366","2016-04-19",15506,345,304,"0.95000"
"1503960366","2016-04-20",10544,245,360,"0.95491"
"1503960366","2016-04-21",9819,238,325,"0.89286"
"1503960366","2016-04-23",14371,324,361,"0.94010"
"1503960366","2016-04-24",10039,282,430,"0.95768"
"1503960366","2016-04-25",15355,303,277,"0.85759"
"1503960366","2016-04-26",13755,333,245,"0.89416"
"1503960366","2016-04-28",13154,265,366,"0.93130"
"1503960366","2016-04-29",11181,271,341,"0.96328"
"1503960366","2016-04-30",14673,303,404,"0.95059"
"1503960366","2016-05-01",10602,314,369,"0.93182"
"1503960366","2016-05-02",14727,333,277,"0.89644"
"1503960366","2016-05-03",15103,328,273,"0.92230"
"1503960366","2016-05-05",14070,319,247,"0.93561"
"1503960366","2016-05-06",12159,319,334,"0.91008"
"1503960366","2016-05-07",11992,258,331,"0.94842"
"1503960366","2016-05-08",10060,255,594,"0.97218"
"1503960366","2016-05-09",12022,263,338,"0.98830"
"1503960366","2016-05-10",12207,291,383,"0.95037"
"1503960366","2016-05-11",12770,310,285,"0.93137"
"1644430081","2016-04-29",3176,120,119,"0.93701"
"1644430081","2016-04-30",18213,482,124,"0.87324"
"1644430081","2016-05-02",3758,156,796,"0.82830"
"1644430081","2016-05-08",6724,295,137,"0.88961"
"1844505072","2016-04-15",3844,176,644,"0.67014"
"1844505072","2016-04-30",4014,184,722,"0.75130"
"1844505072","2016-05-01",2573,82,590,"0.61394"
"1927972279","2016-04-12",678,55,750,"0.96774"
"1927972279","2016-04-13",356,32,398,"0.94313"
"1927972279","2016-04-15",980,51,475,"0.95190"
"1927972279","2016-04-26",3761,192,296,"0.93968"
"1927972279","2016-04-28",1675,95,166,"0.93258"
"2026352035","2016-04-12",4414,192,503,"0.92125"
"2026352035","2016-04-13",4993,238,531,"0.93982"
"2026352035","2016-04-14",3335,197,545,"0.95951"
"2026352035","2016-04-15",3821,188,523,"0.91274"
"2026352035","2016-04-16",2547,150,524,"0.92416"
"2026352035","2016-04-17",838,60,437,"0.87751"
"2026352035","2016-04-19",2424,141,498,"0.92222"
"2026352035","2016-04-20",7222,327,461,"0.90392"
"2026352035","2016-04-21",2467,153,477,"0.92802"
"2026352035","2016-04-22",2915,162,520,"0.95413"
"2026352035","2016-04-23",12357,432,522,"0.94224"
"2026352035","2016-04-24",3490,164,555,"0.93909"
"2026352035","2016-04-25",6017,260,506,"0.95292"
"2026352035","2016-04-27",6088,286,508,"0.93211"
"2026352035","2016-04-28",6375,331,513,"0.94128"
"2026352035","2016-04-29",7604,352,490,"0.96078"
"2026352035","2016-04-30",4729,233,573,"0.94399"
"2026352035","2016-05-01",3609,191,527,"0.96520"
"2026352035","2016-05-02",7018,355,511,"0.94107"
"2026352035","2016-05-04",6564,345,538,"0.96071"
"2026352035","2016-05-05",12167,475,468,"0.96495"
"2026352035","2016-05-06",8198,383,524,"0.95620"
"2026352035","2016-05-07",4193,229,511,"0.98081"
"2026352035","2016-05-08",5528,258,541,"0.95246"
"2026352035","2016-05-09",10685,401,531,"0.95504"
"2026352035","2016-05-10",254,17,357,"0.93947"
"2026352035","2016-05-11",8580,330,523,"0.94575"
"2026352035","2016-05-12",8891,343,456,"0.94021"
"2320127002","2016-04-23",5079,242,61,"0.88406"
"2347167796","2016-04-13",10352,246,467,"0.87947"
"2347167796","2016-04-14",10129,255,445,"0.91002"
"2347167796","2016-04-15",10465,309,452,"0.89683"
"2347167796","2016-04-17",5472,257,556,"0.92359"
"2347167796","2016-04-18",8247,233,500,"0.89767"
"2347167796","2016-04-19",6711,389,465,"0.90467"
"2347167796","2016-04-21",10080,257,460,"0.95041"
"2347167796","2016-04-22",7804,242,405,"0.87852"
"2347167796","2016-04-23",16901,427,374,"0.96891"
"2347167796","2016-04-24",9471,360,442,"0.96296"
"2347167796","2016-04-25",9482,303,433,"0.91932"
"2347167796","2016-04-26",5980,227,436,"0.88980"
