Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalActiveMinutes,PercentActive,Calories
1503960366,4/12/2016,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,25,13,328,728,366,0.254166667,1985
1503960366,4/13/2016,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,21,19,217,776,257,0.178472222,1797
1503960366,4/14/2016,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,30,11,181,1218,222,0.154166667,1776
1503960366,4/15/2016,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,29,34,209,726,272,0.188888889,1745
1503960366,4/16/2016,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,36,10,221,773,267,0.185416667,1863
1503960366,4/17/2016,9705,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,38,20,164,539,222,0.154166667,1728
1503960366,4/18/2016,13019,8.590000153,8.590000153,0,3.25,0.639999986,4.710000038,42,16,233,1149,291,0.202083333,1921
1503960366,4/19/2016,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,50,31,264,775,345,0.239583333,2035
1503960366,4/20/2016,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,28,12,205,818,245,0.170138889,1786
1503960366,4/21/2016,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,19,8,211,838,238,0.165277778,1775
1503960366,4/22/2016,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,66,27,130,1217,223,0.154861111,1827
1503960366,4/23/2016,14371,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,41,21,262,732,324,0.225,1949
1503960366,4/24/2016,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,39,5,238,709,282,0.195833333,1788
1503960366,4/25/2016,15355,9.800000191,9.800000191,0,5.289999962,0.569999993,3.940000057,73,14,216,814,303,0.210416667,2013
1503960366,4/26/2016,13755,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,31,23,279,833,333,0.23125,1970
1503960366,4/27/2016,18134,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,78,11,243,1108,332,0.230555556,2159
1503960366,4/28/2016,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,48,28,189,782,265,0.184027778,1898
1503960366,4/29/2016,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,16,12,243,815,271,0.188194444,1837
1503960366,4/30/2016,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,52,34,217,712,303,0.210416667,1947
1503960366,5/1/2016,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,33,35,246,730,314,0.218055556,1820
1503960366,5/2/2016,14727,9.710000038,9.710000038,0,3.210000038,0.569999993,5.920000076,41,15,277,798,333,0.23125,2004
1503960366,5/3/2016,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,50,24,254,816,328,0.227777778,1990
1503960366,5/4/2016,11100,7.150000095,7.150000095,0,2.460000038,0.870000005,3.819999933,36,22,203,1179,261,0.18125,1819
1503960366,5/5/2016,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,45,24,250,857,319,0.221527778,1959
1503960366,5/6/2016,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,24,6,289,754,319,0.221527778,1896
1503960366,5/7/2016,11992,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,37,46,175,833,258,0.179166667,1821
1503960366,5/8/2016,10060,6.579999924,6.579999924,0,3.529999971,0.319999993,2.730000019,44,8,203,574,255,0.177083333,1740
1503960366,5/9/2016,12022,7.71999979,7.71999979,0,3.450000048,0.529999971,3.74000001,46,11,206,835,263,0.182638889,1819
1503960366,5/10/2016,12207,7.769999981,7.769999981,0,3.349999905,1.159999967,3.25999999,46,31,214,746,291,0.202083333,1859
1503960366,5/11/2016,12770,8.130000114,8.130000114,0,2.559999943,1.00999999,4.550000191,36,23,251,669,310,0.215277778,1783
1503960366,5/12/2016,0,0,0,0,0,0,0,0,0,0,1440,0,0,0
1624580081,4/12/2016,8163,5.309999943,5.309999943,0,0,0,5.309999943,0,0,146,1294,146,0.101388889,1432
1624580081,4/13/2016,7007,4.550000191,4.550000191,0,0,0,4.550000191,0,0,148,1292,148,0.102777778,1411
1624580081,4/14/2016,9107,5.920000076,5.920000076,0,0,0,5.909999847,0,0,236,1204,236,0.163888889,1572
1624580081,4/15/2016,1510,0.980000019,0.980000019,0,0,0,0.970000029,0,0,96,1344,96,0.066666667,1344
